Fiscal Year,Service,Department,Program,Expense Category,Fund,Fund Type,Expense Type,Description,Recommended Amount,Approved Amount
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Library Fund,Citizen Literacy/Access,NA,NA,Expense,Citizen Literacy/Access,0,190000.4
2015,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Interest Expense,Central Waterfront Improvement Fund Interest Expense,NA,NA,Expense,Central Waterfront Improvement Fund Interest Expense,0,349258
2015,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Support to Transportation,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,NA,NA,Expense,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,0,2450000
2014,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Interest Expense,Central Waterfront Improvement Fund Interest Expense,NA,NA,Expense,Central Waterfront Improvement Fund Interest Expense,0,979550
2013,Neighborhoods & Development,Economic Development,Office of Economic Development,Business Development,NA,NA,Expense,Business Development,0,
2013,Public Safety,Fire,Administration,Finance,NA,NA,Expense,Finance,0,1278901.66
2014,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Support to Transportation,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,NA,NA,Expense,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,0,15500000
2013,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Interest Expense,Central Waterfront Improvement Fund Interest Expense,NA,NA,Expense,Central Waterfront Improvement Fund Interest Expense,0,390000
2014,Utilities & Transportation,City Light,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,NA,NA,Expense,Conservation Resources and Environmental Affairs O&M,0,61414394
2013,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Support to Transportation,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,NA,NA,Expense,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,0,9500000
2013,Neighborhoods & Development,Economic Development,Office of Economic Development,Business Services,NA,NA,Expense,Business Services,0,4880399.14
2012,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Support to Transportation,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,NA,NA,Expense,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,0,2000000
2015,Administration,City Budget Office,City Budget Office,City Budget Office,NA,NA,Expense,City Budget Office,0,5606325
2014,Administration,City Budget Office,City Budget Office,City Budget Office,NA,NA,Expense,City Budget Office,0,4614910
2013,Administration,City Budget Office,City Budget Office,City Budget Office,NA,NA,Expense,City Budget Office,0,4085671.44
2012,Administration,City Budget Office,City Budget Office,City Budget Office,NA,NA,Expense,City Budget Office,0,4030780.38
2011,Administration,City Budget Office,City Budget Office,City Budget Office,NA,NA,Expense,City Budget Office,0,4011538.98
2010,Administration,City Budget Office,City Budget Office,City Budget Office,NA,NA,Expense,City Budget Office,0,5109720.27
2015,Utilities & Transportation,City Light,Compliance and Security,Compliance and Security,NA,NA,Expense,Compliance and Security,0,3623730
2015,Utilities & Transportation,City Light,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,NA,NA,Expense,Conservation Resources and Environmental Affairs O&M,0,61129723
2015,Utilities & Transportation,City Light,Customer Focused - CIP,Customer Focused - CIP,NA,NA,Expense,Customer Focused - CIP,0,91365428
2013,Public Safety,Fire,Administration,Human Resources,NA,NA,Expense,Human Resources,0,1102821.82
2015,Utilities & Transportation,City Light,Customer Services,Customer Services,NA,NA,Expense,Customer Services,0,29804255
2015,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,NA,NA,Expense,Debt Service - BCL,0,200478917
2015,Utilities & Transportation,City Light,Distribution Services,Distribution Services,NA,NA,Expense,Distribution Services,0,77538454
2015,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,NA,NA,Expense,Financial Services - CIP,0,9375409
2015,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,NA,NA,Expense,Financial Services - O&M,0,40168027
2015,Utilities & Transportation,City Light,General Expenses,General Expenses,NA,NA,Expense,General Expenses,0,95354245
2015,Utilities & Transportation,City Light,Human Resources,Human Resources,NA,NA,Expense,Human Resources,0,9171102
2015,Utilities & Transportation,City Light,Long-Term Purchased Power,Long-Term Purchased Power,NA,NA,Expense,Long-Term Purchased Power,0,296476914
2015,Utilities & Transportation,City Light,Office of Superintendent,Office of Superintendent,NA,NA,Expense,Office of Superintendent,0,3452807
2015,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,NA,NA,Expense,Power Supply & Environmental Affairs - CIP,0,81060225
2015,Utilities & Transportation,City Light,Power Supply O&M,Power Supply O&M,NA,NA,Expense,Power Supply O&M,0,50902787
2013,Public Safety,Fire,Administration,Information Systems,NA,NA,Expense,Information Systems,0,4189301.1
2015,Utilities & Transportation,City Light,Short-Term Purchased Power,Short-Term Purchased Power,NA,NA,Expense,Short-Term Purchased Power,0,42468347
2015,Utilities & Transportation,City Light,Taxes,Taxes,NA,NA,Expense,Taxes,0,90307625
2015,Utilities & Transportation,City Light,Transmission and Distribution - CIP,Transmission and Distribution - CIP,NA,NA,Expense,Transmission and Distribution - CIP,0,131034579
2014,Utilities & Transportation,City Light,Compliance and Security,Compliance and Security,NA,NA,Expense,Compliance and Security,0,3414125
2012,Public Safety,Law,Criminal,Criminal,NA,NA,Expense,Criminal,0,6289651.67
2014,Utilities & Transportation,City Light,Customer Focused - CIP,Customer Focused - CIP,NA,NA,Expense,Customer Focused - CIP,0,42214506
2014,Utilities & Transportation,City Light,Customer Services,Customer Services,NA,NA,Expense,Customer Services,0,28010479
2014,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,NA,NA,Expense,Debt Service - BCL,0,192033882
2014,Utilities & Transportation,City Light,Distribution Services,Distribution Services,NA,NA,Expense,Distribution Services,0,74119489
2014,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,NA,NA,Expense,Financial Services - CIP,0,5848245
2014,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,NA,NA,Expense,Financial Services - O&M,0,36700561
2014,Utilities & Transportation,City Light,General Expenses,General Expenses,NA,NA,Expense,General Expenses,0,88093979
2014,Utilities & Transportation,City Light,Human Resources,Human Resources,NA,NA,Expense,Human Resources,0,9043468
2014,Utilities & Transportation,City Light,Long-Term Purchased Power,Long-Term Purchased Power,NA,NA,Expense,Long-Term Purchased Power,0,287056886
2014,Utilities & Transportation,City Light,Office of Superintendent,Office of Superintendent,NA,NA,Expense,Office of Superintendent,0,3161305
2014,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,NA,NA,Expense,Power Supply & Environmental Affairs - CIP,0,63588127
2014,Utilities & Transportation,City Light,Power Supply O&M,Power Supply O&M,NA,NA,Expense,Power Supply O&M,0,50843630
2014,Utilities & Transportation,City Light,Short-Term Purchased Power,Short-Term Purchased Power,NA,NA,Expense,Short-Term Purchased Power,0,55573482
2014,Utilities & Transportation,City Light,Taxes,Taxes,NA,NA,Expense,Taxes,0,87435816
2014,Utilities & Transportation,City Light,Transmission and Distribution - CIP,Transmission and Distribution - CIP,NA,NA,Expense,Transmission and Distribution - CIP,0,89135813
2013,Utilities & Transportation,City Light,Compliance and Security,Compliance and Security,NA,NA,Expense,Compliance and Security,0,3163330.89
2013,Utilities & Transportation,City Light,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,NA,NA,Expense,Conservation Resources and Environmental Affairs O&M,0,59893972.86
2013,Utilities & Transportation,City Light,Customer Focused - CIP,Customer Focused - CIP,NA,NA,Expense,Customer Focused - CIP,0,53503046
2013,Utilities & Transportation,City Light,Customer Services,Customer Services,NA,NA,Expense,Customer Services,0,27635692.11
2013,Utilities & Transportation,City Light,Customer Services and Energy Delivery - CIP,Customer Services and Energy Delivery - CIP,NA,NA,Expense,Customer Services and Energy Delivery - CIP,0,
2013,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,NA,NA,Expense,Debt Service - BCL,0,179667546
2013,Utilities & Transportation,City Light,Distribution Services,Distribution Services,NA,NA,Expense,Distribution Services,0,73787206.17
2013,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,NA,NA,Expense,Financial Services - CIP,0,8612388
2013,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,NA,NA,Expense,Financial Services - O&M,0,36023478.76
2013,Utilities & Transportation,City Light,General Expenses,General Expenses,NA,NA,Expense,General Expenses,0,86752635.89
2013,Utilities & Transportation,City Light,Human Resources,Human Resources,NA,NA,Expense,Human Resources,0,9380049.26
2013,Utilities & Transportation,City Light,Long-Term Purchased Power,Long-Term Purchased Power,NA,NA,Expense,Long-Term Purchased Power,0,277322789.3
2013,Utilities & Transportation,City Light,Office of Superintendent,Office of Superintendent,NA,NA,Expense,Office of Superintendent,0,3121630.43
2013,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,NA,NA,Expense,Power Supply & Environmental Affairs - CIP,0,72923920
2013,Utilities & Transportation,City Light,Power Supply O&M,Power Supply O&M,NA,NA,Expense,Power Supply O&M,0,50892547.85
2013,Utilities & Transportation,City Light,Purchased Power,Purchased Power,NA,NA,Expense,Purchased Power,0,
2013,Utilities & Transportation,City Light,Short-Term Purchased Power,Short-Term Purchased Power,NA,NA,Expense,Short-Term Purchased Power,0,52002066.46
2013,Utilities & Transportation,City Light,Taxes,Taxes,NA,NA,Expense,Taxes,0,81554949.78
2015,Administration,Employees' Retirement,"Personnel, Maintenance, and Operations",Employees' Retirement,NA,NA,Expense,Employees' Retirement,0,22023422
2013,Utilities & Transportation,City Light,Transmission and Distribution - CIP,Transmission and Distribution - CIP,NA,NA,Expense,Transmission and Distribution - CIP,0,66042527
2012,Utilities & Transportation,City Light,Compliance and Security,Compliance and Security,NA,NA,Expense,Compliance and Security,0,2825188
2012,Utilities & Transportation,City Light,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,NA,NA,Expense,Conservation Resources and Environmental Affairs O&M,0,57757070.56
2012,Utilities & Transportation,City Light,Customer Focused - CIP,Customer Focused - CIP,NA,NA,Expense,Customer Focused - CIP,0,71268536
2012,Utilities & Transportation,City Light,Customer Services,Customer Services,NA,NA,Expense,Customer Services,0,26847556.76
2012,Utilities & Transportation,City Light,Customer Services and Energy Delivery - CIP,Customer Services and Energy Delivery - CIP,NA,NA,Expense,Customer Services and Energy Delivery - CIP,0,0
2012,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,NA,NA,Expense,Debt Service - BCL,0,178150503
2012,Utilities & Transportation,City Light,Distribution Services,Distribution Services,NA,NA,Expense,Distribution Services,0,71786035.72
2012,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,NA,NA,Expense,Financial Services - CIP,0,7789846
2012,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,NA,NA,Expense,Financial Services - O&M,0,28988915.1
2012,Utilities & Transportation,City Light,General Expenses,General Expenses,NA,NA,Expense,General Expenses,0,76568528.94
2012,Utilities & Transportation,City Light,Human Resources,Human Resources,NA,NA,Expense,Human Resources,0,6790858.16
2012,Utilities & Transportation,City Light,Long-Term Purchased Power,Long-Term Purchased Power,NA,NA,Expense,Long-Term Purchased Power,0,284741917
2012,Utilities & Transportation,City Light,Office of Superintendent,Office of Superintendent,NA,NA,Expense,Office of Superintendent,0,2923084.96
2012,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,NA,NA,Expense,Power Supply & Environmental Affairs - CIP,0,46196214
2012,Utilities & Transportation,City Light,Power Supply O&M,Power Supply O&M,NA,NA,Expense,Power Supply O&M,0,62449375.34
2012,Utilities & Transportation,City Light,Purchased Power,Purchased Power,NA,NA,Expense,Purchased Power,0,0.3544
2012,Utilities & Transportation,City Light,Short-Term Purchased Power,Short-Term Purchased Power,NA,NA,Expense,Short-Term Purchased Power,0,67121923
2012,Utilities & Transportation,City Light,Taxes,Taxes,NA,NA,Expense,Taxes,0,78472238.62
2012,Utilities & Transportation,City Light,Transmission and Distribution - CIP,Transmission and Distribution - CIP,NA,NA,Expense,Transmission and Distribution - CIP,0,64871719
2011,Utilities & Transportation,City Light,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,NA,NA,Expense,Conservation Resources and Environmental Affairs O&M,0,48129845.9
2011,Utilities & Transportation,City Light,Customer Services,Customer Services,NA,NA,Expense,Customer Services,0,27733444.83
2011,Utilities & Transportation,City Light,Customer Services and Energy Delivery - CIP,Customer Services and Energy Delivery - CIP,NA,NA,Expense,Customer Services and Energy Delivery - CIP,0,133139515
